Ticker,Entry_Date,Recovery_Date,Recovery_Duration_Days,Stock_Return_Post_6m,Stock_Max_Return_Post_6m,SPY_Return_Post_6m,Outperformance
AAPL,2008-01-16,2009-10-21,644,30.03605933139265,30.03605933139265,12.882338515875691,17.15372081551696
AAPL,2008-01-22,2009-10-21,638,30.03605933139265,30.03605933139265,12.882338515875691,17.15372081551696
AAPL,2008-07-24,2009-10-21,454,30.03605933139265,30.03605933139265,12.882338515875691,17.15372081551696
AAPL,2008-07-28,2009-10-21,450,30.03605933139265,30.03605933139265,12.882338515875691,17.15372081551696
AAPL,2008-07-31,2009-10-21,447,30.03605933139265,30.03605933139265,12.882338515875691,17.15372081551696
AAPL,2008-09-08,2009-10-21,408,30.03605933139265,30.03605933139265,12.882338515875691,17.15372081551696
AAPL,2012-11-07,2014-07-14,614,17.216413421960418,24.531329220641467,4.421740479932629,12.794672942027791
AAPL,2012-12-05,2014-07-14,586,17.216413421960418,24.531329220641467,4.421740479932629,12.794672942027791
AAPL,2015-08-24,2017-02-01,527,17.532103999420475,22.270987953834936,9.65962312272581,7.872480876694662
AAPL,2016-01-05,2017-02-01,393,17.532103999420475,22.270987953834936,9.65962312272581,7.872480876694662
AAPL,2016-04-26,2017-02-01,281,17.532103999420475,22.270987953834936,9.65962312272581,7.872480876694662
AAPL,2016-07-26,2017-01-11,169,22.735772767400714,31.46046548175363,8.439746712189242,14.296026055211469
AAPL,2018-11-20,2019-10-10,324,17.098716457507432,42.97066932633318,-4.101843724573114,21.200560182080547
AAPL,2019-05-20,2019-10-10,143,17.098716457507432,42.97066932633318,-4.101843724573114,21.200560182080547
AAPL,2019-05-22,2019-10-10,141,17.098716457507432,42.97066932633318,-4.101843724573114,21.200560182080547
AAPL,2020-03-12,2020-06-05,85,49.037308659111474,62.19838714243184,15.826016787908515,33.21129187120296
AAPL,2020-03-16,2020-06-05,81,49.037308659111474,62.19838714243184,15.826016787908515,33.21129187120296
AAPL,2020-04-07,2020-06-05,59,49.037308659111474,62.19838714243184,15.826016787908515,33.21129187120296
AAPL,2020-09-18,2020-12-28,101,-1.0822591816069198,4.733334358721721,15.612004522509846,-16.694263704116764
AAPL,2020-09-23,2020-12-28,96,-1.0822591816069198,4.733334358721721,15.612004522509846,-16.694263704116764
AAPL,2022-05-12,2023-06-02,386,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2022-05-18,2023-06-02,380,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2022-06-09,2023-06-02,358,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2022-07-11,2023-06-02,326,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2022-09-29,2023-06-02,246,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2022-10-07,2023-06-02,238,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2022-10-27,2023-06-02,218,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2022-11-03,2023-06-02,211,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2022-11-28,2023-06-02,186,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2022-12-06,2023-06-02,178,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2022-12-14,2023-06-02,170,5.25397242780825,8.565902260822677,7.429232401237511,-2.1752599734292604
AAPL,2023-01-25,2023-06-01,127,5.433680717394869,9.084337845806798,8.555351162723559,-3.121670445328691
AAPL,2025-04-03,2025-10-20,200,1.6920895170690287,9.23864599725793,5.480268112419657,-3.788178595350629
AAPL,2025-05-02,2025-10-20,171,1.6920895170690287,9.23864599725793,5.480268112419657,-3.788178595350629
AAPL,2025-05-21,2025-10-20,152,1.6920895170690287,9.23864599725793,5.480268112419657,-3.788178595350629
AAPL,2025-08-01,2025-10-20,80,1.6920895170690287,9.23864599725793,5.480268112419657,-3.788178595350629
MSFT,2008-02-05,2013-04-30,1911,9.468540268575719,10.345398822054289,11.312107384449314,-1.8435671158735956
MSFT,2008-04-02,2013-04-30,1854,9.468540268575719,10.345398822054289,11.312107384449314,-1.8435671158735956
MSFT,2008-04-28,2013-04-30,1828,9.468540268575719,10.345398822054289,11.312107384449314,-1.8435671158735956
MSFT,2008-05-07,2013-04-30,1819,9.468540268575719,10.345398822054289,11.312107384449314,-1.8435671158735956
MSFT,2008-05-20,2013-04-30,1806,9.468540268575719,10.345398822054289,11.312107384449314,-1.8435671158735956
MSFT,2010-06-09,2012-02-03,604,-2.19914499399481,9.346107919383948,2.53451712140079,-4.7336621153956004
MSFT,2010-06-25,2012-02-03,588,-2.19914499399481,9.346107919383948,2.53451712140079,-4.7336621153956004
MSFT,2010-07-16,2012-02-03,567,-2.19914499399481,9.346107919383948,2.53451712140079,-4.7336621153956004
MSFT,2010-08-11,2012-02-03,541,-2.19914499399481,9.346107919383948,2.53451712140079,-4.7336621153956004
MSFT,2010-09-22,2012-02-03,499,-2.19914499399481,9.346107919383948,2.53451712140079,-4.7336621153956004
MSFT,2020-03-12,2020-06-08,88,14.313102035727582,23.279874230417345,14.41150201816373,-0.09839998243614811
MSFT,2020-03-16,2020-06-08,84,14.313102035727582,23.279874230417345,14.41150201816373,-0.09839998243614811
MSFT,2020-03-27,2020-06-08,73,14.313102035727582,23.279874230417345,14.41150201816373,-0.09839998243614811
MSFT,2022-04-26,2023-06-15,415,7.993107561989898,10.396040268931168,7.074893618972637,0.9182139430172611
MSFT,2022-05-09,2023-06-15,402,7.993107561989898,10.396040268931168,7.074893618972637,0.9182139430172611
MSFT,2022-06-03,2023-06-15,377,7.993107561989898,10.396040268931168,7.074893618972637,0.9182139430172611
MSFT,2022-08-26,2023-06-15,293,7.993107561989898,10.396040268931168,7.074893618972637,0.9182139430172611
MSFT,2023-02-24,2023-05-17,82,18.17003612097374,18.17003612097374,8.851853554719476,9.318182566254267
MSFT,2023-02-28,2023-05-17,78,18.17003612097374,18.17003612097374,8.851853554719476,9.318182566254267
MSFT,2023-03-10,2023-05-17,68,18.17003612097374,18.17003612097374,8.851853554719476,9.318182566254267
MSFT,2025-04-04,2025-06-05,62,2.5083306927319184,16.09671243154892,15.979002347079401,-13.470671654347482
MSFT,2025-04-16,2025-06-05,50,2.5083306927319184,16.09671243154892,15.979002347079401,-13.470671654347482
GOOGL,2008-01-22,2012-09-24,1707,7.109873240144347,11.90582791793271,8.477437223696107,-1.3675639835517603
GOOGL,2008-05-06,2012-09-24,1602,7.109873240144347,11.90582791793271,8.477437223696107,-1.3675639835517603
GOOGL,2010-05-06,2010-11-08,186,-14.214161476427087,2.0517988321255944,11.04318878418214,-25.25735026060923
GOOGL,2010-05-18,2010-11-08,174,-14.214161476427087,2.0517988321255944,11.04318878418214,-25.25735026060923
GOOGL,2010-06-04,2010-11-08,157,-14.214161476427087,2.0517988321255944,11.04318878418214,-25.25735026060923
GOOGL,2010-08-06,2010-11-08,94,-14.214161476427087,2.0517988321255944,11.04318878418214,-25.25735026060923
GOOGL,2010-08-11,2010-11-08,89,-14.214161476427087,2.0517988321255944,11.04318878418214,-25.25735026060923
GOOGL,2011-06-10,2011-12-27,200,-11.80320080840898,4.377971767499839,5.34052597759908,-17.14372678600806
GOOGL,2011-08-18,2011-12-27,131,-11.80320080840898,4.377971767499839,5.34052597759908,-17.14372678600806
GOOGL,2011-10-03,2011-12-27,85,-11.80320080840898,4.377971767499839,5.34052597759908,-17.14372678600806
GOOGL,2018-11-19,2019-04-29,161,-2.86142951655889,0.0,3.183263359086623,-6.044692875645513
